x,y
0.028535231660232,71.4237580095296
0.043375965250965,106.1494958104
0.050796332046332,119.423268966155
0.060071790540541,149.049478097018
0.080477799227799,185.807922759386
0.091608349420849,210.318815205784
0.130565275096525,300.196034512857
0.1472611003861,349.229660416497
0.156536558880309,369.655404121829
0.184362934362934,417.643074067611
0.195493484555985,444.198514386349
0.243725868725869,540.18964229237
0.254856418918919,566.745082611109
0.282682794401544,614.732752556891
0.297523527992278,651.503038230102
0.327204995173745,704.59813085312
0.338335545366795,729.109023299518
0.365234375,775.054118874767
0.379147562741313,802.625912624253
0.403882118725869,844.145759313648
0.417486124517375,867.288357173666
0.433872767857143,899.625499953795
0.453351230694981,933.319096309459
0.470047055984556,957.818147745014
0.486742881274131,982.317199180567
0.504057070463321,1011.58554665038
0.520134531853282,1039.49349354104
0.536211993243243,1067.4014404317
0.557236365830116,1099.38795772407
0.574859736969112,1126.27034150888
0.598048383204633,1160.63755981476
0.615671754343629,1187.51994359957
0.64504403957529,1228.00764884376
0.658648045366795,1251.15024670378
0.679672417953668,1280.41070016636
0.706571247586873,1316.1330563799
0.724194618725869,1343.01544016471
0.74738326496139,1377.3826584706
0.765934181949807,1405.96685864722
0.77984736969112,1427.40500877968
0.806746199324324,1463.12736499323
0.820659387065637,1484.56551512569
0.847558216698842,1520.28787133924
0.866109133687259,1548.87207151586
0.883732504826255,1575.75445530067
0.904756877413128,1607.74097259304
0.918360883204633,1630.88357045306
0.945568894787645,1668.99057468373
0.961646356177606,1696.89852157439
0.974631998069498,1725.49456276186
1.01637156129344,1783.67536954223
1.03585002413127,1817.3689658979
1.05687439671815,1847.31093531792
1.08408240830116,1890.18855125073
1.10727105453668,1924.55576955661
1.12118424227799,1945.99391968907
1.15086570945946,1994.99991656741
1.18425736003861,2043.99801943852
1.20280827702703,2072.58221961514
1.24362029440154,2125.65363021647
1.26773648648649,2157.63356916948
1.28999758687259,2180.7577476793
1.30483832046332,2192.99345888443
1.31967905405405,2221.58555306828
1.3530707046332,2250.13817721598
1.3883174469112,2287.54656180688
1.4105785472973,2305.21861265712
1.45324565637066,2343.97424114845
1.49405767374517,2373.53335121787
1.53078848938224,2397.37641065269
1.56269606660232,2409.84841580754
1.57939189189189,2417.30956830692
1.6331895511583,2439.68513179784
1.67400156853282,2445.73194133534
1.73336450289575,2457.87292445372
1.77417652027027,2470.05337760824
1.82240890444015,2484.26259062065
1.84467000482626,2492.39341806664
1.87435147200772,2508.68664898753
1.91516348938224,2524.95619788673
1.97452642374517,2530.96353738809
2.07470137548263,2543.01768642694
2.11922357625483,2553.1456977019
2.62009833494209,2580.70367693874
2.65348998552124,2580.63263087367
2.71656310328185,2582.54298062312
2.75366493725869,2574.96736501891
2.85755007239382,2578.15391260373
2.91320282335907,2585.53217802721
2.95772502413127,2586.11896589791
3.05789997586873,2598.17311493677
3.11726291023166,2606.22500231046
3.16178511100386,2608.17482209605
3.25824987934363,2614.10322152512
3.29906189671815,2609.92729170092
3.3992368484556,2601.53596201637
3.45859978281853,2597.32056215603
3.49941180019305,2597.23372807651
3.55753800675676,2605.96976274339
3.65523950289575,2619.39220636863
3.75170427123552,2606.91967494663
3.79993665540541,2604.77250498031
3.84074867277992,2600.59657515611
3.90011160714286,2600.47027104045
4.00028655888031,2616.61351582398
4.14127352799228,2616.31354354928
4.2043466457529,2610.04570180936
4.24144847972973,2603.83311812005
4.34162343146718,2601.57543205252
4.38058035714286,2597.40344923194
4.44179838320463,2595.22865024032
4.48261040057915,2603.32000765016
4.5382631515444,2613.42433690343
4.57907516891892,2621.51569431327
4.88331020752896,2602.46745486942
4.94267314189189,2602.34115075375
4.98719534266409,2600.20187479466
2.17760617760618,2557.06070812455
2.25482625482625,2556.89641008792
2.35907335907336,2569.44056518526
2.43629343629344,2569.27626714863
2.49420849420849,2573.40836277008
2.69111969111969,2585.75536022346
4.66409266409267,2619.85541772779
4.73359073359073,2606.94159204801
4.83011583011583,2602.48090035328
